Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00170203638116475,0.0127346850239872,-0.0118041005648726,0,0,0,9.42503016099692,0.832740314338072,-5.56408283328623E-07,0.000753920974796364,1.0663237405973,0.000121345959122724,0.234614332511758,0,0,0,0,0,0,package://main_assem/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/base_link.STL,,new_chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
armbase,-0.00324897350997218,0.0353952360185757,0,0,0,0,0.506213101500391,0.000753878291869249,5.72149221092461E-05,-6.69003782118071E-21,0.000614625369596842,2.84387244597079E-19,0.000750783643468825,0,0,0,0,0,0,package://main_assem/meshes/armbase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/armbase.STL,,Part2-1,Origin_armbase_j,Axis_armbase_j,armbase_j,revolute,0,0.383,0.0254,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
arm1,0.0879541937393116,0,-0.0124617330788163,0,0,0,0.183935653559041,3.12142420880735E-05,-3.14163621815198E-21,-3.6809232997478E-06,0.000765129111322245,1.950052768551E-21,0.000774879373112612,0,0,0,0,0,0,package://main_assem/meshes/arm1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/arm1.STL,,part3-1,Origin_arm1_j,Axis_arm1_j,arm1_j,revolute,0,0.097,0,0,1.5708,3.1416,armbase,0,0,1,0,0,0,0,,,,,,,,
arm2,-0.00950340675731335,-1.38777878078145E-17,-0.0666337524314881,0,0,0,0.123007120370338,0.000288970056409319,-1.50923505767771E-22,1.94072911636947E-07,0.000275729143825337,5.6623532321321E-21,2.03023109381682E-05,0,0,0,0,0,0,package://main_assem/meshes/arm2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/arm2.STL,,Part4-1,Origin_arm2_j,Axis_arm2_j,arm2_j,revolute,0.17194,0,0,0,1.5708,-3.1416,arm1,1,0,0,0,0,0,0,,,,,,,,
arm3,2.77555756156289E-17,0.0100325428121109,0.0230765135930778,0,0,0,0.00876236613981444,2.85847864738436E-06,3.57315758507871E-22,2.65331948404002E-22,2.73486379920807E-06,7.69476065540878E-08,1.07567110867272E-06,0,0,0,0,0,0,package://main_assem/meshes/arm3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/arm3.STL,,Part5-1,Origin_arm3_j,Axis_arm3_j,arm3_j,revolute,0,0,-0.1397,3.1416,0,-1.5708,arm2,0,1,0,0,0,0,0,,,,,,,,
end_eff,-5.20417042793042E-18,-0.00382504739336498,0,0,0,0,0.00543129612695023,3.4904804132836E-07,3.16484926145413E-22,1.25133954774564E-38,6.45260935473564E-07,1.22213314069655E-23,3.4904804132836E-07,0,0,0,0,0,0,package://main_assem/meshes/end_eff.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/end_eff.STL,,Part6-1,Origin_end_eff_j,Axis_end_eff_j,end_eff_j,revolute,0,0.009652,0.045692,-1.5708,0,-1.5708,arm3,0,1,0,0,0,0,0,,,,,,,,
front_l,0.0630909519637447,0,-1.38777878078145E-17,0,0,0,1.59838145273687,0.00880922264288547,1.40090991093141E-19,-6.23156060309379E-19,0.0040430414902767,3.16915422768023E-05,0.00636782025562654,0,0,0,0,0,0,package://main_assem/meshes/front_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/front_l.STL,,left_front-2,Origin_front_l_j,Axis_front_l_j,front_l_j,continuous,-0.2286,0.254,0.0127,-0.3918,0,-3.1416,base_link,1,0,0,,,,,,,,,,,,
front_r,0.0630909519637447,0,-5.55111512312578E-17,0,0,0,1.59838145273687,0.00880922264288546,6.81917958332264E-20,4.04733976487528E-19,0.0040430414902767,3.16915422768036E-05,0.00636782025562653,0,0,0,0,0,0,package://main_assem/meshes/front_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/front_r.STL,,right_front-1,Origin_front_r_j,Axis_front_r_j,front_r_j,continuous,0.2286,0.254,0.0127,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
back_l,0.0630909519637446,2.77555756156289E-17,-1.38777878078145E-17,0,0,0,1.59838145273687,0.00880922264288547,9.73907783546181E-20,-1.99184542323934E-19,0.0040430414902767,3.16915422768004E-05,0.00636782025562654,0,0,0,0,0,0,package://main_assem/meshes/back_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/back_l.STL,,left_back-1,Origin_back_l_j,Axis_back_l_j,back_l_j,continuous,-0.2286,-0.254,0.0127,-0.3918,0,-3.1416,base_link,1,0,0,,,,,,,,,,,,
back_r,0.0630909519637446,3.46944695195361E-18,5.55111512312578E-17,0,0,0,1.59838145273687,0.00880922264288546,2.0319209393765E-19,3.64561037791785E-19,0.0040430414902767,3.16915422768035E-05,0.00636782025562653,0,0,0,0,0,0,package://main_assem/meshes/back_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_assem/meshes/back_r.STL,,right_back-1,Origin_back_r_j,Axis_back_r_j,back_r_j,continuous,0.2286,-0.254,0.0127,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
